Day,Time,sensor_type,sensor_state,device_type,device_state,activity
Tuesday,09:00,Motion02,ON,,,
Tuesday,09:00,Motion02,ON,,,
Tuesday,09:00,Motion04,ON,,,
Tuesday,09:00,Motion04,ON,,,
Tuesday,09:00,Motion04,ON,,,
Tuesday,09:00,Motion04,ON,,,
Tuesday,09:00,Motion03,ON,,,
Tuesday,09:00,Motion03,ON,,,
Tuesday,09:00,Door01,ON,,,
Tuesday,09:00,Door01,ON,,,
Tuesday,09:00,Door01,ON,,,
Tuesday,09:00,Door02,ON,,,
Tuesday,09:00,Door02,ON,,,
Tuesday,09:00,Motion13,ON,,,
Tuesday,09:00,Door02,ON,,,
Tuesday,09:00,Door02,ON,,,
Tuesday,09:00,Motion19,ON,,,
Tuesday,09:01,,,ToiletLight,ON,Washing Up
Tuesday,09:02,Door02,ON,,,Washing Up
Tuesday,09:02,Motion19,ON,,,Washing Up
Tuesday,09:02,Motion19,ON,,,Washing Up
Tuesday,09:02,Motion19,ON,,,Washing Up
Tuesday,09:02,Motion19,ON,,,Washing Up
Tuesday,09:03,,,WaterTap,ON,Washing Up
Tuesday,09:04,Motion19,ON,,,
Tuesday,09:05,Motion19,ON,,,Washing Up
Tuesday,09:10,Motion19,ON,,,Washing Up
Tuesday,09:11,,,WaterTap,OFF,Washing Up
Tuesday,09:12,,,ToiletLight,OFF,Washing Up
Tuesday,09:13,Motion19,ON,,,
Tuesday,09:13,Motion19,ON,,,
Tuesday,09:13,Motion19,ON,,,
Tuesday,09:13,Door02,ON,,,
Tuesday,09:13,Motion19,ON,,,
Tuesday,09:13,Door02,ON,,,
Tuesday,09:13,Door02,ON,,,
Tuesday,09:13,Motion13,ON,,,
Tuesday,09:13,Motion13,ON,,,
Tuesday,09:13,Motion13,ON,,,
Tuesday,09:13,Motion12,ON,,,
Tuesday,09:13,Motion12,ON,,,
Tuesday,09:13,Motion12,ON,,,
Tuesday,09:13,Motion12,ON,,,
Tuesday,09:13,Motion11,ON,,,
Tuesday,09:13,Motion11,ON,,,
Tuesday,09:13,Motion11,ON,,,
Tuesday,09:13,Door03,ON,,,
Tuesday,09:13,Door03,ON,,,
Tuesday,09:13,Door03,ON,,,
Tuesday,09:13,Motion15,ON,,,
Tuesday,09:14,Motion15,ON,,,Cooking
Tuesday,09:14,Motion15,ON,,,Cooking
Tuesday,09:14,Motion15,ON,,,Cooking
Tuesday,09:14,Motion15,ON,,,Cooking
Tuesday,09:15,,,Fridge,ON,Cooking
Tuesday,09:16,,,Fridge,OFF,Cooking
Tuesday,09:17,Motion15,ON,,,Cooking
Tuesday,09:17,Motion15,ON,,,Cooking
Tuesday,09:17,Motion16,ON,,,Cooking
Tuesday,09:17,Motion16,ON,,,Cooking
Tuesday,09:17,Motion16,ON,,,Cooking
Tuesday,09:18,,,Microwave,ON,Cooking
Tuesday,09:26,,,Microwave,OFF,Cooking
Tuesday,09:28,Motion16,ON,,,
Tuesday,09:28,Motion16,ON,,,
Tuesday,09:28,Motion16,ON,,,
Tuesday,09:28,Motion15,ON,,,
Tuesday,09:28,Motion15,ON,,,
Tuesday,09:28,Motion15,ON,,,
Tuesday,09:28,Door03,ON,,,
Tuesday,09:28,Door03,ON,,,
Tuesday,09:28,Door03,ON,,,
Tuesday,09:29,Motion08,ON,,,Eating
Tuesday,09:29,Motion08,ON,,,Eating
Tuesday,09:29,Motion08,ON,,,Eating
Tuesday,09:29,Motion05,ON,,,Eating
Tuesday,09:29,Motion05,ON,,,Eating
Tuesday,09:30,Motion05,ON,,,
Tuesday,09:31,Motion05,ON,,,Eating
Tuesday,10:07,Motion05,ON,,,Eating
Tuesday,10:08,Motion05,ON,,,
Tuesday,10:09,Motion05,ON,,,Washing Dishes
Tuesday,10:10,Motion05,ON,,,
Tuesday,10:11,Motion05,ON,,,Washing Dishes
Tuesday,10:19,Motion05,ON,,,Washing Dishes
Tuesday,10:20,Motion05,ON,,,
Tuesday,10:20,Motion05,ON,,,
Tuesday,10:20,Motion08,ON,,,
Tuesday,10:20,Motion08,ON,,,
Tuesday,10:20,Motion08,ON,,,
Tuesday,10:20,Door03,ON,,,
Tuesday,10:20,Door03,ON,,,
Tuesday,10:20,Door03,ON,,,
Tuesday,10:20,Motion15,ON,,,
Tuesday,10:21,Motion15,ON,,,Washing Dishes
Tuesday,10:21,Motion15,ON,,,Washing Dishes
Tuesday,10:21,Motion15,ON,,,Washing Dishes
Tuesday,10:21,Motion16,ON,,,Washing Dishes
Tuesday,10:21,Motion16,ON,,,Washing Dishes
Tuesday,10:21,Motion16,ON,,,Washing Dishes
Tuesday,10:22,,,DishWasher,ON,Washing Dishes
Tuesday,10:34,Motion16,ON,,,
Tuesday,10:34,Motion16,ON,,,
Tuesday,10:34,Motion16,ON,,,
Tuesday,10:34,Motion15,ON,,,
Tuesday,10:34,Motion15,ON,,,
Tuesday,10:34,Motion15,ON,,,
Tuesday,10:34,Door03,ON,,,
Tuesday,10:34,Door03,ON,,,
Tuesday,10:34,Door03,ON,,,
Tuesday,10:34,Motion11,ON,,,
Tuesday,10:34,Motion11,ON,,,
Tuesday,10:34,Motion11,ON,,,
Tuesday,10:34,Motion12,ON,,,
Tuesday,10:34,Motion12,ON,,,
Tuesday,10:34,Motion12,ON,,,
Tuesday,10:34,Motion12,ON,,,
Tuesday,10:34,Motion13,ON,,,
Tuesday,10:34,Motion13,ON,,,
Tuesday,10:34,Door02,ON,,,
Tuesday,10:34,Motion13,ON,,,
Tuesday,10:34,Door02,ON,,,
Tuesday,10:34,Door02,ON,,,
Tuesday,10:34,Motion19,ON,,,
Tuesday,10:35,,,ToiletLight,ON,Toilet
Tuesday,10:36,Door02,ON,,,Toilet
Tuesday,10:36,Motion19,ON,,,Toilet
Tuesday,10:36,Door02,ON,,,Toilet
Tuesday,10:36,Motion19,ON,,,Toilet
Tuesday,10:37,,,ToiletBowl,ON,Toilet
Tuesday,10:44,,,ToiletBowl,OFF,Toilet
Tuesday,10:45,Motion19,ON,,,Toilet
Tuesday,10:45,Motion19,ON,,,Toilet
Tuesday,10:45,Motion19,ON,,,Toilet
Tuesday,10:46,,,WaterTap,ON,Toilet
Tuesday,10:47,,,WaterTap,OFF,Toilet
Tuesday,10:48,,,ToiletLight,OFF,Toilet
Tuesday,10:49,Motion19,ON,,,
Tuesday,10:49,Motion19,ON,,,
Tuesday,10:49,Motion19,ON,,,
Tuesday,10:49,Door02,ON,,,
Tuesday,10:49,Motion19,ON,,,
Tuesday,10:49,Door02,ON,,,
Tuesday,10:49,Door02,ON,,,
Tuesday,10:49,Motion13,ON,,,
Tuesday,10:49,Motion13,ON,,,
Tuesday,10:49,Motion13,ON,,,
Tuesday,10:49,Motion12,ON,,,
Tuesday,10:49,Motion12,ON,,,
Tuesday,10:49,Motion12,ON,,,
Tuesday,10:49,Motion12,ON,,,
Tuesday,10:49,Motion11,ON,,,
Tuesday,10:49,Motion11,ON,,,
Tuesday,10:49,Motion11,ON,,,
Tuesday,10:49,Door03,ON,,,
Tuesday,10:49,Door03,ON,,,
Tuesday,10:49,Door03,ON,,,
Tuesday,10:49,Motion15,ON,,,
Tuesday,10:50,Motion15,ON,,,Washing Dishes
Tuesday,10:50,Motion15,ON,,,Washing Dishes
Tuesday,10:50,Motion15,ON,,,Washing Dishes
Tuesday,10:50,Motion16,ON,,,Washing Dishes
Tuesday,10:50,Motion16,ON,,,Washing Dishes
Tuesday,10:50,Motion16,ON,,,Washing Dishes
Tuesday,10:56,,,DishWasher,OFF,Washing Dishes
Tuesday,11:10,Motion16,ON,,,
Tuesday,11:10,Motion16,ON,,,
Tuesday,11:10,Motion16,ON,,,
Tuesday,11:10,Motion15,ON,,,
Tuesday,11:10,Motion15,ON,,,
Tuesday,11:10,Motion15,ON,,,
Tuesday,11:10,Door03,ON,,,
Tuesday,11:10,Door03,ON,,,
Tuesday,11:10,Door03,ON,,,
Tuesday,11:11,,,LivingRoomLight,ON,Watching TV
Tuesday,11:12,Motion08,ON,,,Watching TV
Tuesday,11:12,Motion08,ON,,,Watching TV
Tuesday,11:12,Motion08,ON,,,Watching TV
Tuesday,11:12,Motion05,ON,,,Watching TV
Tuesday,11:12,Motion05,ON,,,Watching TV
Tuesday,11:12,Motion05,ON,,,Watching TV
Tuesday,11:12,Motion06,ON,,,Watching TV
Tuesday,11:12,Motion06,ON,,,Watching TV
Tuesday,11:12,Motion06,ON,,,Watching TV
Tuesday,11:12,Motion07,ON,,,Watching TV
Tuesday,11:13,,,Television,ON,Watching TV
Tuesday,11:38,,,Phone,ON,Phone
Tuesday,11:39,Motion07,ON,,,
Tuesday,11:40,Motion07,ON,,,Phone
Tuesday,11:51,Motion07,ON,,,Phone
Tuesday,11:52,,,Phone,OFF,Phone
Tuesday,11:53,Motion07,ON,,,
Tuesday,11:54,Motion07,ON,,,Watching TV
Tuesday,12:56,Motion07,ON,,,Watching TV
Tuesday,12:57,,,Television,OFF,Watching TV
Tuesday,12:58,,,LivingRoomLight,OFF,Watching TV
Tuesday,12:59,Motion07,ON,,,
Tuesday,12:59,Motion07,ON,,,
Tuesday,12:59,Motion07,ON,,,
Tuesday,12:59,Motion07,ON,,,
Tuesday,12:59,Motion10,ON,,,
Tuesday,12:59,Motion10,ON,,,
Tuesday,12:59,Motion10,ON,,,
Tuesday,12:59,Motion12,ON,,,
Tuesday,12:59,Motion12,ON,,,
Tuesday,12:59,Motion13,ON,,,
Tuesday,13:00,Motion13,ON,,,Going Out
Tuesday,13:00,Motion13,ON,,,Going Out
Tuesday,13:00,Motion13,ON,,,Going Out
Tuesday,13:00,Motion13,ON,,,Going Out
Tuesday,13:00,Motion14,ON,,,Going Out
Tuesday,13:00,Motion14,ON,,,Going Out
Tuesday,13:00,Motion14,ON,,,Going Out
Tuesday,13:00,Door05,ON,,,Going Out
Tuesday,13:01,,,Gate,ON,Going Out
Tuesday,13:02,,,Gate,OFF,Going Out
Tuesday,13:03,Door05,ON,,,
Tuesday,13:04,Door05,ON,,,Going Out
Tuesday,14:25,Door05,ON,,,Going Out
Tuesday,14:26,,,Gate,ON,Going Out
Tuesday,14:27,,,Gate,OFF,Going Out
Tuesday,14:28,Door05,ON,,,
Tuesday,14:28,Motion14,ON,,,
Tuesday,14:28,Motion14,ON,,,
Tuesday,14:28,Motion14,ON,,,
Tuesday,14:28,Motion13,ON,,,
Tuesday,14:28,Motion13,ON,,,
Tuesday,14:28,Motion13,ON,,,
Tuesday,14:28,Motion13,ON,,,
Tuesday,14:28,Motion12,ON,,,
Tuesday,14:28,Motion12,ON,,,
Tuesday,14:28,Motion12,ON,,,
Tuesday,14:28,Motion11,ON,,,
Tuesday,14:28,Motion11,ON,,,
Tuesday,14:28,Motion17,ON,,,
Tuesday,14:28,Motion17,ON,,,
Tuesday,14:28,Motion17,ON,,,
Tuesday,14:28,Motion18,ON,,,
Tuesday,14:28,Motion18,ON,,,
Tuesday,14:28,Motion18,ON,,,
Tuesday,14:28,Door04,ON,,,
Tuesday,14:28,Door04,ON,,,
Tuesday,14:28,Door04,ON,,,
Tuesday,14:28,Door04,ON,,,
Tuesday,14:29,,,StudyLight,ON,Working
Tuesday,14:30,Door04,ON,,,Working
Tuesday,14:30,Door04,ON,,,Working
Tuesday,14:30,Motion21,ON,,,Working
Tuesday,14:30,Motion21,ON,,,Working
Tuesday,14:30,Motion21,ON,,,Working
Tuesday,14:30,Motion20,ON,,,Working
Tuesday,14:30,Motion20,ON,,,Working
Tuesday,14:31,,,Computer,ON,Working
Tuesday,14:32,Motion20,ON,,,
Tuesday,14:33,Motion20,ON,,,Working
Tuesday,15:31,Motion20,ON,,,Working
Tuesday,15:32,,,Computer,OFF,Working
Tuesday,15:33,,,StudyLight,OFF,Working
Tuesday,15:34,Motion20,ON,,,
Tuesday,15:34,Motion21,ON,,,
Tuesday,15:34,Motion21,ON,,,
Tuesday,15:34,Motion21,ON,,,
Tuesday,15:34,Door04,ON,,,
Tuesday,15:34,Door04,ON,,,
Tuesday,15:34,Door04,ON,,,
Tuesday,15:34,Door04,ON,,,
Tuesday,15:34,Motion18,ON,,,
Tuesday,15:34,Motion18,ON,,,
Tuesday,15:34,Motion18,ON,,,
Tuesday,15:34,Motion17,ON,,,
Tuesday,15:34,Motion17,ON,,,
Tuesday,15:34,Motion17,ON,,,
Tuesday,15:34,Motion11,ON,,,
Tuesday,15:34,Motion11,ON,,,
Tuesday,15:34,Motion11,ON,,,
Tuesday,15:34,Motion11,ON,,,
Tuesday,15:34,Door03,ON,,,
Tuesday,15:34,Door03,ON,,,
Tuesday,15:34,Door03,ON,,,
Tuesday,15:34,Motion15,ON,,,
Tuesday,15:35,Motion15,ON,,,Cooking
Tuesday,15:35,Motion15,ON,,,Cooking
Tuesday,15:35,Motion15,ON,,,Cooking
Tuesday,15:35,Motion15,ON,,,Cooking
Tuesday,15:36,,,Fridge,ON,Cooking
Tuesday,15:37,,,Fridge,OFF,Cooking
Tuesday,15:38,Motion15,ON,,,Cooking
Tuesday,15:38,Motion15,ON,,,Cooking
Tuesday,15:38,Motion16,ON,,,Cooking
Tuesday,15:38,Motion16,ON,,,Cooking
Tuesday,15:38,Motion16,ON,,,Cooking
Tuesday,15:39,,,Microwave,ON,Cooking
Tuesday,15:46,,,Microwave,OFF,Cooking
Tuesday,15:48,Motion16,ON,,,
Tuesday,15:48,Motion16,ON,,,
Tuesday,15:48,Motion16,ON,,,
Tuesday,15:48,Motion15,ON,,,
Tuesday,15:48,Motion15,ON,,,
Tuesday,15:48,Motion15,ON,,,
Tuesday,15:48,Door03,ON,,,
Tuesday,15:48,Door03,ON,,,
Tuesday,15:48,Door03,ON,,,
Tuesday,15:49,Motion08,ON,,,Eating
Tuesday,15:49,Motion08,ON,,,Eating
Tuesday,15:49,Motion08,ON,,,Eating
Tuesday,15:49,Motion05,ON,,,Eating
Tuesday,15:49,Motion05,ON,,,Eating
Tuesday,15:50,Motion05,ON,,,
Tuesday,15:51,Motion05,ON,,,Eating
Tuesday,16:32,Motion05,ON,,,Eating
Tuesday,16:33,Motion05,ON,,,
Tuesday,16:34,Motion05,ON,,,Washing Dishes
Tuesday,16:35,Motion05,ON,,,
Tuesday,16:36,Motion05,ON,,,Washing Dishes
Tuesday,16:46,Motion05,ON,,,Washing Dishes
Tuesday,16:47,Motion05,ON,,,
Tuesday,16:47,Motion05,ON,,,
Tuesday,16:47,Motion08,ON,,,
Tuesday,16:47,Motion08,ON,,,
Tuesday,16:47,Motion08,ON,,,
Tuesday,16:47,Door03,ON,,,
Tuesday,16:47,Door03,ON,,,
Tuesday,16:47,Door03,ON,,,
Tuesday,16:47,Motion15,ON,,,
Tuesday,16:48,Motion15,ON,,,Washing Dishes
Tuesday,16:48,Motion15,ON,,,Washing Dishes
Tuesday,16:48,Motion15,ON,,,Washing Dishes
Tuesday,16:48,Motion16,ON,,,Washing Dishes
Tuesday,16:48,Motion16,ON,,,Washing Dishes
Tuesday,16:48,Motion16,ON,,,Washing Dishes
Tuesday,16:49,,,DishWasher,ON,Washing Dishes
Tuesday,17:00,Motion16,ON,,,
Tuesday,17:00,Motion16,ON,,,
Tuesday,17:00,Motion16,ON,,,
Tuesday,17:00,Motion15,ON,,,
Tuesday,17:00,Motion15,ON,,,
Tuesday,17:00,Motion15,ON,,,
Tuesday,17:00,Door03,ON,,,
Tuesday,17:00,Door03,ON,,,
Tuesday,17:00,Door03,ON,,,
Tuesday,17:00,Motion11,ON,,,
Tuesday,17:00,Motion11,ON,,,
Tuesday,17:00,Motion11,ON,,,
Tuesday,17:00,Motion12,ON,,,
Tuesday,17:00,Motion12,ON,,,
Tuesday,17:00,Motion12,ON,,,
Tuesday,17:00,Motion12,ON,,,
Tuesday,17:00,Motion13,ON,,,
Tuesday,17:00,Motion13,ON,,,
Tuesday,17:00,Door02,ON,,,
Tuesday,17:00,Motion13,ON,,,
Tuesday,17:00,Door02,ON,,,
Tuesday,17:00,Door02,ON,,,
Tuesday,17:00,Motion19,ON,,,
Tuesday,17:01,,,ToiletLight,ON,Toilet
Tuesday,17:02,Door02,ON,,,Toilet
Tuesday,17:02,Motion19,ON,,,Toilet
Tuesday,17:02,Door02,ON,,,Toilet
Tuesday,17:02,Motion19,ON,,,Toilet
Tuesday,17:03,,,ToiletBowl,ON,Toilet
Tuesday,17:12,,,ToiletBowl,OFF,Toilet
Tuesday,17:13,Motion19,ON,,,Toilet
Tuesday,17:13,Motion19,ON,,,Toilet
Tuesday,17:13,Motion19,ON,,,Toilet
Tuesday,17:14,,,WaterTap,ON,Toilet
Tuesday,17:15,,,WaterTap,OFF,Toilet
Tuesday,17:16,,,ToiletLight,OFF,Toilet
Tuesday,17:17,Motion19,ON,,,
Tuesday,17:17,Motion19,ON,,,
