Day,Time,sensor_type,sensor_state,device_type,device_state,activity
Thursday,08:31,Motion02,ON,,,
Thursday,08:31,Motion02,ON,,,
Thursday,08:31,Motion04,ON,,,
Thursday,08:31,Motion04,ON,,,
Thursday,08:31,Motion04,ON,,,
Thursday,08:31,Motion04,ON,,,
Thursday,08:31,Motion03,ON,,,
Thursday,08:31,Motion03,ON,,,
Thursday,08:31,Door01,ON,,,
Thursday,08:31,Door01,ON,,,
Thursday,08:31,Door01,ON,,,
Thursday,08:31,Door02,ON,,,
Thursday,08:31,Door02,ON,,,
Thursday,08:31,Motion13,ON,,,
Thursday,08:31,Door02,ON,,,
Thursday,08:31,Door02,ON,,,
Thursday,08:31,Motion19,ON,,,
Thursday,08:32,,,ToiletLight,ON,Washing Up
Thursday,08:33,Door02,ON,,,Washing Up
Thursday,08:33,Motion19,ON,,,Washing Up
Thursday,08:33,Motion19,ON,,,Washing Up
Thursday,08:33,Motion19,ON,,,Washing Up
Thursday,08:33,Motion19,ON,,,Washing Up
Thursday,08:34,,,WaterTap,ON,Washing Up
Thursday,08:35,Motion19,ON,,,
Thursday,08:36,Motion19,ON,,,Washing Up
Thursday,08:40,Motion19,ON,,,Washing Up
Thursday,08:41,,,WaterTap,OFF,Washing Up
Thursday,08:42,,,ToiletLight,OFF,Washing Up
Thursday,08:43,Motion19,ON,,,
Thursday,08:43,Motion19,ON,,,
Thursday,08:43,Motion19,ON,,,
Thursday,08:43,Door02,ON,,,
Thursday,08:43,Motion19,ON,,,
Thursday,08:43,Door02,ON,,,
Thursday,08:43,Door02,ON,,,
Thursday,08:43,Motion13,ON,,,
Thursday,08:43,Motion13,ON,,,
Thursday,08:43,Motion13,ON,,,
Thursday,08:43,Motion12,ON,,,
Thursday,08:43,Motion12,ON,,,
Thursday,08:43,Motion12,ON,,,
Thursday,08:43,Motion12,ON,,,
Thursday,08:43,Motion11,ON,,,
Thursday,08:43,Motion11,ON,,,
Thursday,08:43,Motion11,ON,,,
Thursday,08:43,Door03,ON,,,
Thursday,08:43,Door03,ON,,,
Thursday,08:43,Door03,ON,,,
Thursday,08:43,Motion15,ON,,,
Thursday,08:44,Motion15,ON,,,Cooking
Thursday,08:44,Motion15,ON,,,Cooking
Thursday,08:44,Motion15,ON,,,Cooking
Thursday,08:44,Motion15,ON,,,Cooking
Thursday,08:45,,,Fridge,ON,Cooking
Thursday,08:46,,,Fridge,OFF,Cooking
Thursday,08:47,Motion15,ON,,,
Thursday,08:47,Motion15,ON,,,
Thursday,08:48,Motion15,ON,,,Cooking
Thursday,08:48,Motion15,ON,,,Cooking
Thursday,08:52,Motion15,ON,,,Cooking
Thursday,08:53,Motion15,ON,,,Cooking
Thursday,08:53,Motion15,ON,,,Cooking
Thursday,08:53,Motion16,ON,,,Cooking
Thursday,08:53,Motion16,ON,,,Cooking
Thursday,08:53,Motion16,ON,,,Cooking
Thursday,08:54,,,Stove,ON,Cooking
Thursday,08:55,Motion16,ON,,,
Thursday,08:55,Motion16,ON,,,
Thursday,08:56,Motion16,ON,,,Cooking
Thursday,08:56,Motion16,ON,,,Cooking
Thursday,09:05,Motion16,ON,,,Cooking
Thursday,09:06,,,Stove,OFF,Cooking
Thursday,09:07,Motion16,ON,,,
Thursday,09:07,Motion16,ON,,,
Thursday,09:08,Motion16,ON,,,
Thursday,09:08,Motion16,ON,,,
Thursday,09:08,Motion15,ON,,,
Thursday,09:08,Motion15,ON,,,
Thursday,09:08,Motion15,ON,,,
Thursday,09:08,Door03,ON,,,
Thursday,09:08,Door03,ON,,,
Thursday,09:08,Door03,ON,,,
Thursday,09:09,Motion08,ON,,,Eating
Thursday,09:09,Motion08,ON,,,Eating
Thursday,09:09,Motion08,ON,,,Eating
Thursday,09:09,Motion05,ON,,,Eating
Thursday,09:09,Motion05,ON,,,Eating
Thursday,09:10,Motion05,ON,,,
Thursday,09:11,Motion05,ON,,,Eating
Thursday,09:32,Motion05,ON,,,Eating
Thursday,09:33,Motion05,ON,,,
Thursday,09:34,Motion05,ON,,,Washing Dishes
Thursday,09:35,Motion05,ON,,,
Thursday,09:36,Motion05,ON,,,Washing Dishes
Thursday,09:42,Motion05,ON,,,Washing Dishes
Thursday,09:43,Motion05,ON,,,
Thursday,09:43,Motion05,ON,,,
Thursday,09:43,Motion08,ON,,,
Thursday,09:43,Motion08,ON,,,
Thursday,09:43,Motion08,ON,,,
Thursday,09:43,Door03,ON,,,
Thursday,09:43,Door03,ON,,,
Thursday,09:43,Door03,ON,,,
Thursday,09:43,Motion15,ON,,,
Thursday,09:44,Motion15,ON,,,Washing Dishes
Thursday,09:44,Motion15,ON,,,Washing Dishes
Thursday,09:44,Motion15,ON,,,Washing Dishes
Thursday,09:44,Motion16,ON,,,Washing Dishes
Thursday,09:44,Motion16,ON,,,Washing Dishes
Thursday,09:44,Motion16,ON,,,Washing Dishes
Thursday,09:45,,,DishWasher,ON,Washing Dishes
Thursday,09:48,Motion16,ON,,,
Thursday,09:48,Motion16,ON,,,
Thursday,09:48,Motion16,ON,,,
Thursday,09:48,Motion15,ON,,,
Thursday,09:48,Motion15,ON,,,
Thursday,09:48,Motion15,ON,,,
Thursday,09:48,Door03,ON,,,
Thursday,09:48,Door03,ON,,,
Thursday,09:48,Door03,ON,,,
Thursday,09:48,Motion11,ON,,,
Thursday,09:48,Motion11,ON,,,
Thursday,09:48,Motion11,ON,,,
Thursday,09:48,Motion12,ON,,,
Thursday,09:48,Motion12,ON,,,
Thursday,09:48,Motion12,ON,,,
Thursday,09:48,Motion12,ON,,,
Thursday,09:48,Motion13,ON,,,
Thursday,09:48,Motion13,ON,,,
Thursday,09:48,Door02,ON,,,
Thursday,09:48,Motion13,ON,,,
Thursday,09:48,Door02,ON,,,
Thursday,09:48,Door02,ON,,,
Thursday,09:48,Motion19,ON,,,
Thursday,09:49,,,ToiletLight,ON,Toilet
Thursday,09:50,Door02,ON,,,Toilet
Thursday,09:50,Motion19,ON,,,Toilet
Thursday,09:50,Door02,ON,,,Toilet
Thursday,09:50,Motion19,ON,,,Toilet
Thursday,09:51,,,ToiletBowl,ON,Toilet
Thursday,10:02,,,ToiletBowl,OFF,Toilet
Thursday,10:03,Motion19,ON,,,Toilet
Thursday,10:03,Motion19,ON,,,Toilet
Thursday,10:03,Motion19,ON,,,Toilet
Thursday,10:04,,,WaterTap,ON,Toilet
Thursday,10:05,,,WaterTap,OFF,Toilet
Thursday,10:06,,,ToiletLight,OFF,Toilet
Thursday,10:07,Motion19,ON,,,
Thursday,10:07,Motion19,ON,,,
Thursday,10:07,Motion19,ON,,,
Thursday,10:07,Door02,ON,,,
Thursday,10:07,Motion19,ON,,,
Thursday,10:07,Door02,ON,,,
Thursday,10:07,Door02,ON,,,
Thursday,10:07,Motion13,ON,,,
Thursday,10:07,Motion13,ON,,,
Thursday,10:07,Motion13,ON,,,
Thursday,10:07,Motion12,ON,,,
Thursday,10:07,Motion12,ON,,,
Thursday,10:07,Motion12,ON,,,
Thursday,10:07,Motion12,ON,,,
Thursday,10:07,Motion11,ON,,,
Thursday,10:07,Motion11,ON,,,
Thursday,10:07,Motion11,ON,,,
Thursday,10:07,Door03,ON,,,
Thursday,10:07,Door03,ON,,,
Thursday,10:07,Door03,ON,,,
Thursday,10:07,Motion15,ON,,,
Thursday,10:08,Motion15,ON,,,Washing Dishes
Thursday,10:08,Motion15,ON,,,Washing Dishes
Thursday,10:08,Motion15,ON,,,Washing Dishes
Thursday,10:08,Motion16,ON,,,Washing Dishes
Thursday,10:08,Motion16,ON,,,Washing Dishes
Thursday,10:08,Motion16,ON,,,Washing Dishes
Thursday,10:18,,,DishWasher,OFF,Washing Dishes
Thursday,10:31,Motion16,ON,,,
Thursday,10:31,Motion16,ON,,,
Thursday,10:31,Motion16,ON,,,
Thursday,10:31,Motion15,ON,,,
Thursday,10:31,Motion15,ON,,,
Thursday,10:31,Motion15,ON,,,
Thursday,10:31,Door03,ON,,,
Thursday,10:31,Door03,ON,,,
Thursday,10:31,Door03,ON,,,
Thursday,10:31,Motion11,ON,,,
Thursday,10:31,Motion11,ON,,,
Thursday,10:31,Motion11,ON,,,
Thursday,10:31,Motion11,ON,,,
Thursday,10:31,Motion17,ON,,,
Thursday,10:31,Motion17,ON,,,
Thursday,10:31,Motion17,ON,,,
Thursday,10:31,Motion18,ON,,,
Thursday,10:31,Motion18,ON,,,
Thursday,10:31,Motion18,ON,,,
Thursday,10:31,Door04,ON,,,
Thursday,10:31,Door04,ON,,,
Thursday,10:31,Door04,ON,,,
Thursday,10:31,Door04,ON,,,
Thursday,10:32,,,StudyLight,ON,Working
Thursday,10:33,Door04,ON,,,Working
Thursday,10:33,Door04,ON,,,Working
Thursday,10:33,Motion21,ON,,,Working
Thursday,10:33,Motion21,ON,,,Working
Thursday,10:33,Motion21,ON,,,Working
Thursday,10:33,Motion20,ON,,,Working
Thursday,10:33,Motion20,ON,,,Working
Thursday,10:34,,,Computer,ON,Working
Thursday,10:35,Motion20,ON,,,
Thursday,10:36,Motion20,ON,,,Working
Thursday,12:06,Motion20,ON,,,Working
Thursday,12:07,,,Computer,OFF,Working
Thursday,12:08,,,StudyLight,OFF,Working
Thursday,12:09,Motion20,ON,,,
Thursday,12:09,Motion21,ON,,,
Thursday,12:09,Motion21,ON,,,
Thursday,12:09,Motion21,ON,,,
Thursday,12:09,Door04,ON,,,
Thursday,12:09,Door04,ON,,,
Thursday,12:09,Door04,ON,,,
Thursday,12:09,Door04,ON,,,
Thursday,12:09,Motion18,ON,,,
