Day,Time,sensor_type,sensor_state,device_type,device_state,activity
Tuesday,07:00,Motion02,ON,,,
Tuesday,07:00,Motion02,ON,,,
Tuesday,07:00,Motion04,ON,,,
Tuesday,07:00,Motion04,ON,,,
Tuesday,07:00,Motion04,ON,,,
Tuesday,07:00,Motion04,ON,,,
Tuesday,07:00,Motion03,ON,,,
Tuesday,07:00,Motion03,ON,,,
Tuesday,07:00,Door01,ON,,,
Tuesday,07:00,Door01,ON,,,
Tuesday,07:00,Door01,ON,,,
Tuesday,07:00,Door02,ON,,,
Tuesday,07:00,Door02,ON,,,
Tuesday,07:00,Motion13,ON,,,
Tuesday,07:00,Door02,ON,,,
Tuesday,07:00,Door02,ON,,,
Tuesday,07:00,Motion19,ON,,,
Tuesday,07:01,,,ToiletLight,ON,Washing Up
Tuesday,07:02,Door02,ON,,,Washing Up
Tuesday,07:02,Motion19,ON,,,Washing Up
Tuesday,07:02,Motion19,ON,,,Washing Up
Tuesday,07:02,Motion19,ON,,,Washing Up
Tuesday,07:02,Motion19,ON,,,Washing Up
Tuesday,07:03,,,WaterTap,ON,Washing Up
Tuesday,07:04,Motion19,ON,,,
Tuesday,07:05,Motion19,ON,,,Washing Up
Tuesday,07:15,Motion19,ON,,,Washing Up
Tuesday,07:16,,,WaterTap,OFF,Washing Up
Tuesday,07:17,,,ToiletLight,OFF,Washing Up
Tuesday,07:18,Motion19,ON,,,
Tuesday,07:18,Motion19,ON,,,
Tuesday,07:18,Motion19,ON,,,
Tuesday,07:18,Door02,ON,,,
Tuesday,07:18,Motion19,ON,,,
Tuesday,07:18,Door02,ON,,,
Tuesday,07:18,Door02,ON,,,
Tuesday,07:18,Motion13,ON,,,
Tuesday,07:18,Motion13,ON,,,
Tuesday,07:18,Motion13,ON,,,
Tuesday,07:18,Motion12,ON,,,
Tuesday,07:18,Motion12,ON,,,
Tuesday,07:18,Motion12,ON,,,
Tuesday,07:18,Motion12,ON,,,
Tuesday,07:18,Motion11,ON,,,
Tuesday,07:18,Motion11,ON,,,
Tuesday,07:18,Motion11,ON,,,
Tuesday,07:18,Door03,ON,,,
Tuesday,07:18,Door03,ON,,,
Tuesday,07:18,Door03,ON,,,
Tuesday,07:18,Motion15,ON,,,
Tuesday,07:19,Motion15,ON,,,Cooking
Tuesday,07:19,Motion15,ON,,,Cooking
Tuesday,07:19,Motion15,ON,,,Cooking
Tuesday,07:19,Motion15,ON,,,Cooking
Tuesday,07:20,,,Fridge,ON,Cooking
Tuesday,07:21,,,Fridge,OFF,Cooking
Tuesday,07:22,Motion15,ON,,,Cooking
Tuesday,07:22,Motion15,ON,,,Cooking
Tuesday,07:22,Motion16,ON,,,Cooking
Tuesday,07:22,Motion16,ON,,,Cooking
Tuesday,07:22,Motion16,ON,,,Cooking
Tuesday,07:23,,,Microwave,ON,Cooking
Tuesday,07:30,,,Microwave,OFF,Cooking
Tuesday,07:32,Motion16,ON,,,
Tuesday,07:32,Motion16,ON,,,
Tuesday,07:32,Motion16,ON,,,
